"Measurements (Sera in Rows/Viruses in Columns)","A/AUCKLAND/20/2003","A/AUCKLAND/5/96","A/BANGKOK/1/97","A/BEIJING/32/92","A/BRISBANE/10/2007","A/BRISBANE/22/94","A/BRISBANE/22/96","A/BRISBANE/3/2005","A/BRISBANE/342/2003","A/BRISBANE/5/2002","A/CALIFORNIA/7/2004","A/CANBERRA/1/96","A/CANBERRA/9/97","A/CHRISTCHURCH/1/96","A/CHRISTCHURCH/68/99","A/FUJIAN/140/2000","A/FUJIAN/411/2002","A/FUKUOKA/55/2002","A/JOHANNESBURG/33/94","A/NANCHANG/933/95","A/NEW_YORK/55/2004","A/NEWCALEDONIA/12/2004","A/PANAMA/2007/99","A/PERTH/16/2009","A/PERTH/27/2007","A/PERTH/5/97","A/PERTH/9/97","A/PHILIPPINES/427/2002_MDCK","A/PHILIPPINES/472/2002_EGG","A/SHANGDONG/9/93","A/SINGAPORE/37/2004","A/SOUTH_AUSTRALIA/53/2001","A/SOUTH_AUSTRALIA/84/2002","A/SYDNEY/228/2000","A/SYDNEY/5/97","A/TASMANIA/1/97","A/TOWNSVILLE/2/99","A/TOWNSVILLE/36/2003","A/TOWNSVILLE/4/2002","A/URUGUAY/716/2007","A/VICTORIA/1/93","A/VICTORIA/110/2004","A/VICTORIA/208/2009","A/VICTORIA/361/2011","A/VICTORIA/47/97","A/VICTORIA/500/2009","A/VICTORIA/507/98","A/VICTORIA/523/2004","A/VICTORIA/577/99","A/VICTORIA/8/2010","A/VICTORIA/9/94","A/WELLINGTON/1/2004","A/WELLINGTON/1/94","A/WELLINGTON/25/93","A/WELLINGTON/48/96","A/WELLINGTON/96/93","A/WISCONSIN/67/2005","A/WUHAN/359/95","A/WYOMING/3/2003","BI/16190/68","BI/1761/76","BI/21793/72","BI/2271/76","HN196/2009","HN201/2009","HN206/2009","NL/179/93","NL/213/03","NL/233/82","NL/301/99","NL/620/89","NL/823/92","RG145K_NL/178/95","VN015/EL134/2008","VN016/EL135/2008","VN017/EL140/2008","VN018/EL204/2009","VN019/EL442/2010","VN020/EL443/2010","VN021/EL444/2010","VN053/2010"
"Serum_A/WELLINGTON/25/93_TableS1",5,40,40,640,5,1280,160,5,5,5,5,160,5,80,5,5,5,5,160,80,5,5,5,5,5,160,160,5,5,1280,5,5,5,5,5,5,5,5,5,5,320,5,5,5,80,5,5,5,5,5,640,5,1280,640,160,80,5,80,5,"*","*","*","*","*","*","*",640,5,"*",5,"*","*",160,"*","*","*","*","*","*","*","*"
"Serum_A/WELLINGTON/96/93_TableS1",5,20,40,160,5,2560,160,5,5,5,5,160,5,80,5,5,5,5,640,160,5,5,5,5,5,160,320,5,5,640,5,5,5,5,5,5,5,5,5,5,40,5,5,5,160,5,5,5,5,5,2560,5,2560,2560,160,320,5,80,5,"*","*","*","*","*","*","*",2560,5,"*",5,"*","*",320,"*","*","*","*","*","*","*","*"
"Serum_A/VICTORIA/9/94_TableS1",5,40,40,160,5,5120,320,5,5,5,5,160,5,80,5,5,5,5,640,160,5,5,5,5,5,320,320,5,5,320,5,5,5,5,5,5,5,5,5,5,80,5,5,5,160,5,5,5,5,5,2560,5,2560,2560,160,320,5,80,5,"*","*","*","*","*","*","*",2560,5,"*",5,"*","*",5,"*","*","*","*","*","*","*","*"
"Serum_A/JOHANNESBURG/33/94_TableS1",20,20,80,40,5,1280,320,5,5,5,5,5,5,40,5,5,5,5,320,160,5,5,5,5,5,160,320,5,5,80,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,5,5,1280,5,640,1280,40,640,5,80,5,"*","*","*","*","*","*","*",1280,5,"*",5,"*","*",320,"*","*","*","*","*","*","*","*"
"Serum_A/SHANGDONG/9/93_TableS1",10,20,80,320,5,1280,160,5,5,5,5,5,5,40,5,5,5,5,80,80,5,5,5,5,5,160,160,5,5,320,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,640,5,640,640,40,160,5,40,5,"*","*","*","*","*","*","*",640,5,"*",5,"*","*",80,"*","*","*","*","*","*","*","*"
"Serum_A/WELLINGTON/1/94_repeat_TableS1",5,40,20,40,5,2560,160,5,5,5,5,80,5,40,5,5,5,5,640,80,5,5,5,5,5,160,160,5,5,160,5,5,5,5,5,10,5,5,5,5,40,5,5,"*",80,5,5,5,5,5,1280,5,1280,1280,80,320,5,80,5,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Serum_A/WELLINGTON/1/94_TableS1",10,40,40,40,5,1280,160,10,5,5,5,5,5,40,5,5,5,5,320,160,5,5,5,5,5,80,160,5,5,80,5,5,5,5,5,10,5,5,5,5,5,5,5,5,5,5,5,10,5,5,1280,5,1280,1280,40,320,5,80,5,"*","*","*","*","*","*","*",1280,5,"*",5,"*","*",320,"*","*","*","*","*","*","*","*"
"Serum_A/NANCHANG/933/95_TableS1","*",320,320,5,"*",5,640,"*","*",5,"*",320,5,640,5,5,"*","*",5,320,"*","*",5,"*","*",320,640,"*","*",5,"*","*",5,5,5,80,5,"*","*","*",5,"*","*","*",640,"*",5,"*",5,"*",5,"*",5,5,640,5,"*",160,"*","*","*","*","*","*","*","*",5,"*","*",5,"*","*",5,"*","*","*","*","*","*","*","*"
"Serum_A/TASMANIA/1/97_TableS1",160,40,80,5,5,20,640,5,20,20,5,40,40,320,40,5,40,5,5,320,5,20,5,5,5,2560,5120,20,5,5,5,80,320,40,10,2560,20,40,20,5,20,40,5,5,1280,5,80,5,5,5,10,5,10,10,320,5,5,160,20,"*","*","*","*","*","*","*",5,5,"*",5,"*","*",40,"*","*","*","*","*","*","*","*"
"Serum_A/CANBERRA/1/96_TableS1",80,640,1280,80,5,640,2560,5,5,10,5,1280,80,320,40,5,5,5,80,2560,5,5,10,5,5,2560,5120,10,5,160,5,5,5,10,80,2560,5,5,5,5,5,5,5,5,640,5,40,20,20,5,320,5,320,320,320,80,5,1280,20,"*","*","*","*","*","*","*",320,20,"*",40,"*","*",640,"*","*","*","*","*","*","*","*"
"Serum_A/WUHAN/359/95_TableS1",80,640,640,5,5,160,2560,5,5,20,5,320,160,640,20,80,20,5,20,1280,5,5,5,5,5,2560,5120,10,80,5,5,40,160,5,320,640,5,40,5,5,5,20,5,5,640,5,80,20,5,5,160,5,80,320,640,40,5,1280,20,"*","*","*","*","*","*","*",80,20,"*",10,"*","*",640,"*","*","*","*","*","*","*","*"
"Serum_A/BANGKOK/1/97_TableS1",320,160,640,80,5,320,1280,5,40,20,5,320,80,1280,40,5,20,5,40,1280,5,40,5,5,5,640,1280,20,5,40,5,80,320,40,40,160,20,80,40,5,5,80,5,5,1280,5,160,5,5,5,160,5,160,160,1280,40,5,640,20,"*","*","*","*","*","*","*",80,5,"*",5,"*","*",320,"*","*","*","*","*","*","*","*"
"Serum_A/SYDNEY/5/97_TableS1",640,5,40,5,5,5,40,5,160,160,5,5,1280,80,320,5,320,160,5,40,5,320,20,5,5,40,80,80,640,5,20,640,2560,320,1280,5,160,320,160,20,5,160,5,5,5,5,320,20,160,5,5,40,5,5,40,5,10,20,320,"*","*","*","*","*","*","*",20,160,"*",640,"*","*",20,"*","*","*","*","*","*","*","*"
